,zipcode,latitude,longitude,cluster
0,43055,40.0343,-75.1213,18
1,10024,39.9925,-75.1133,18
2,46901,40.0118,-75.1456,18
3,36271,40.0596,-75.0818,18
4,18974,39.338,-82.9895,15
5,98121,40.0338,-75.1731,18
6,98133,40.0365,-75.1451,18
7,77015,40.0178,-75.0895,18
8,45780,40.0247,-75.0518,18
9,07624,40.0369,-75.0664,18
10,43773,40.0568,-75.1569,18
11,33169,44.0105,-92.3973,7
12,11101,32.7244,-96.6755,5
13,23462,44.0496,-92.4896,7
14,75150,43.6695,-92.9784,7
15,75201,40.0422,-75.0244,18
16,36203,40.0724,-82.4046,15
17,23220,39.9954,-75.1698,18
18,98418,40.7918,-73.9447,17
19,56097,33.6493,-86.7057,14
20,35215,40.7975,-73.9683,17
21,48203,32.8154,-96.6307,5
22,10463,44.0032,-92.4835,7
23,19129,32.825,-96.6784,5
24,43022,40.0897,-74.9781,18
25,23150,40.0118,-82.9732,15
26,47925,40.0634,-74.999,18
27,16354,39.7187,-82.6031,15
28,56171,39.9952,-83.0047,15
29,36037,42.4138,-71.0052,9
30,07753,47.6036,-122.3256,1
31,19144,32.7672,-96.6836,5
32,43725,40.745,-73.9069,17
33,77039,42.4261,-83.1951,10
34,23069,32.8565,-96.5999,5
35,75223,33.409,-86.9475,14
36,45690,40.7608,-73.9295,17
37,76692,39.7305,-105.1915,2
38,23061,44.1078,-92.4053,7
39,28025,37.5748,-77.4267,8
40,43103,44.0805,-93.2191,7
41,75149,42.3883,-83.1937,10
42,28054,42.4112,-71.0514,9
43,28655,40.7864,-73.9764,17
44,80757,40.0402,-75.2231,18
45,48173,32.8248,-96.7498,5
46,15208,40.1109,-74.9378,18
47,39560,40.0425,-82.9689,15
48,80013,40.7402,-73.9996,17
49,48227,40.7443,-73.9781,17
50,95624,40.7351,-73.8776,17
51,11235,42.4291,-71.0605,9
52,15442,32.7678,-96.6082,5
53,80125,42.3963,-71.0325,9
54,23228,34.749,-80.7616,4
55,35133,42.3642,-71.0257,9
56,23901,33.7299,-86.6451,14
57,35096,40.7816,-73.9511,17
58,75216,34.9151,-81.0129,4
59,10314,37.3429,-77.4156,8
60,23832,33.5554,-86.887,14
61,45661,40.0547,-75.1866,18
62,80108,42.4081,-83.0583,10
63,80018,32.9227,-96.6248,5
64,28211,39.592,-105.1328,2
65,28227,40.5876,-83.1271,15
66,33021,40.0568,-75.1379,18
67,80111,33.4354,-86.1134,14
68,23005,40.0606,-75.0471,18
69,07002,39.9811,-75.174,18
70,11106,37.2876,-77.295,8
71,08096,40.0726,-75.1706,18
72,33175,33.6339,-86.5981,14
73,75227,39.9925,-75.1415,18
74,08873,25.813,-80.232,3
75,07079,42.3547,-83.2168,10
76,43227,33.4951,-86.8059,14
77,36756,47.6849,-122.2968,1
78,80223,32.3808,-96.8374,5
79,11370,40.0839,-82.9726,15
80,75214,40.5171,-74.3973,17
81,77450,37.4955,-77.471,8
82,16023,39.7123,-105.0918,2
83,35071,33.8529,-86.8198,14
84,35022,40.2932,-83.0723,15
85,98236,37.5498,-77.4588,8
86,02188,39.9648,-83.126,15
87,75137,40.7262,-73.9796,17
88,97216,37.2123,-77.4814,8
89,02482,40.1096,-75.155,18
90,19152,42.4173,-71.1087,9
91,43224,34.8946,-80.554,4
92,15824,42.4212,-83.1009,10
93,19149,39.8466,-86.3869,16
94,28602,40.7036,-73.8961,17
95,19121,42.3959,-83.1411,10
96,81326,39.5814,-104.9557,2
97,45644,40.8011,-73.9371,17
98,46030,33.1717,-86.2713,14
99,95132,35.2358,-80.8964,4
100,19136,32.8132,-96.8142,5
101,28129,39.6374,-105.3402,2
102,98117,33.468,-87.0924,14
103,48228,39.5918,-105.0832,2
104,63755,40.0903,-75.041,18
105,67756,42.4337,-83.0434,10
106,11104,32.9103,-96.7285,5
107,35503,40.0322,-83.1383,15
108,39110,47.6873,-122.3772,1
109,36266,32.831,-96.7692,5
110,56093,40.7095,-73.9563,17
111,98072,34.9251,-80.7278,4
112,28206,40.7453,-73.8611,17
113,43130,42.3778,-71.0627,9
114,08701,47.3104,-122.3612,1
115,28277,40.1717,-80.256,12
116,46041,33.8927,-87.1667,14
117,22630,39.9788,-75.1262,18
118,18210,33.6539,-85.8382,14
119,15301,40.1146,-82.9105,15
120,02109,40.7239,-73.8997,17
121,45681,42.4633,-71.0111,9
122,33142,40.2477,-83.3622,15
123,75075,40.7764,-73.9827,17
124,80138,29.8941,-95.6481,6
125,98205,42.426,-83.2495,10
126,98036,47.6633,-122.3022,1
127,43068,37.5477,-77.3948,8
128,77433,40.8116,-73.955,17
129,35173,35.244,-80.7387,4
130,80122,35.0178,-80.5372,4
131,19150,32.7491,-96.4598,5
132,43056,47.5412,-122.275,1
133,23860,37.4638,-77.398,8
134,80260,37.431,-77.6545,8
135,02332,39.8671,-104.9227,2
136,19038,40.7513,-73.883,17
137,16101,35.2516,-81.3806,4
138,75169,29.7853,-95.1852,6
139,99802,40.8882,-74.0503,17
140,35010,32.3258,-90.8507,13
141,75044,39.6667,-105.0854,2
142,28110,47.368,-122.1206,1
143,10031,35.22,-80.7881,4
144,77098,44.1538,-93.996,7
145,77429,40.737,-74.1964,17
146,28023,40.8601,-74.1283,17
147,10022,39.5988,-82.93,15
148,07604,47.3866,-122.2109,1
149,07109,32.8681,-96.8622,5
150,38732,37.4373,-77.4788,8
151,48204,44.5528,-92.5486,7
152,29704,33.3224,-86.9657,14
153,11418,47.7377,-122.3431,1
154,03874,39.6888,-105.156,2
155,95127,42.4098,-82.9441,10
156,02149,39.9274,-82.0041,15
157,83843,33.4188,-86.7867,14
158,98550,42.3474,-83.0604,10
159,77091,37.2874,-107.8617,2
160,95066,35.2449,-81.2194,4
161,77036,37.5158,-77.5047,8
162,07458,47.5846,-122.3005,1
163,98070,32.8267,-96.9633,5
164,10459,40.7436,-73.9216,17
165,75040,42.426,-83.15,10
166,95035,47.3776,-122.2854,1
167,48038,40.7236,-74.2015,17
168,55057,32.4197,-87.0245,14
169,75210,35.1316,-80.8577,4
170,75189,40.1159,-74.8536,18
171,98058,40.7946,-74.1631,17
172,80216,32.9805,-86.7181,14
173,26003,42.2787,-71.1589,9
174,07644,37.27,-77.4038,8
175,98027,32.8999,-96.7897,5
176,95076,32.9164,-85.9368,14
177,07033,47.4889,-122.3012,1
178,19134,35.1936,-80.6846,4
179,43333,48.104,-122.7945,1
180,24433,40.1166,-75.0198,18
181,75248,39.5372,-82.4126,15
182,35226,40.3192,-74.4285,17
183,19120,47.717,-122.3015,1
184,15236,40.4284,-74.4064,17
185,28027,40.7706,-73.9265,17
186,77072,32.886,-96.4095,5
187,36607,47.5344,-122.3547,1
188,75035,35.2522,-80.8265,4
189,80906,35.2886,-80.8209,4
190,01907,35.0108,-80.9266,4
191,02115,39.9771,-74.1565,-1
192,93291,39.6206,-105.0901,2
193,33714,39.923,-82.8664,15
194,75251,40.0226,-83.0776,15
195,77040,40.7261,-74.2313,17
196,46142,39.9046,-82.9703,15
197,07106,35.4141,-80.6162,4
198,10456,29.8617,-95.3403,6
199,98116,47.2884,-122.098,1
200,43211,40.7896,-74.3202,17
201,75089,33.4816,-86.859,14
202,76544,33.5887,-86.765,14
203,77901,40.0201,-83.0118,15
