,zipcode,latitude,longitude,cluster,x,y
0,43055,40.0343,-75.1213,11,1751793.927382778,2084032.20748371
1,10024,39.9925,-75.1133,11,1753475.4049307054,2079608.8502897476
2,46901,40.0118,-75.1456,11,1750336.71856516,2081123.9675622112
3,36271,40.0596,-75.0818,11,1754435.5297373417,2087527.3264251743
4,18974,39.338,-82.9895,10,1107671.2599893613,1888734.087626456
5,98121,40.0338,-75.1731,11,1747529.803646674,2083023.8355192777
6,98133,40.0365,-75.1451,11,1749775.5434224978,2083834.3229363426
7,77015,40.0178,-75.0895,11,1754822.40212179,2082814.6598268847
8,45780,40.0247,-75.0518,11,1757765.8069980014,2084265.8280096317
9,07624,40.0369,-75.0664,11,1756261.927760295,2085329.7922507122
10,43773,40.0568,-75.1569,11,1748306.5638970863,2085837.1259786559
11,33169,44.0105,-92.3973,8,287797.920490844,2340946.3780012424
12,11101,32.7244,-96.6755,0,-62951.09241302683,1072766.7442155164
13,23462,44.0496,-92.4896,8,280267.01198410185,2345027.503916107
14,75150,43.6695,-92.9784,8,242603.74686577637,2301309.0153357293
15,75201,40.0422,-75.0244,11,1759598.2358013089,2086686.1687470954
16,36203,40.0724,-82.4046,10,1145401.6999449162,1977159.89618355
17,23220,39.9954,-75.1698,11,1748737.7881918445,2078884.9071201603
18,98418,40.7918,-73.9447,11,1829267.5423871337,2188902.105363375
19,56097,33.6493,-86.7057,4,854698.437918897,1217620.144718031
20,35215,40.7975,-73.9683,11,1827198.70163156,2189069.3501967764
21,48203,32.8154,-96.6307,0,-58708.78555708288,1082889.9862178236
22,10463,44.0032,-92.4835,8,280945.2209700632,2339874.949345802
23,19129,32.825,-96.6784,0,-63141.22712388053,1083991.622760214
24,43022,40.0897,-74.9781,11,1762251.0683358633,2092736.7325064188
25,23150,40.0118,-82.9732,10,1098732.450450106,1963722.9399895514
26,47925,40.0634,-74.999,11,1761173.5589853302,2089474.3076602141
27,16354,39.7187,-82.6031,10,1134358.5567426044,1935545.2214682377
28,56171,39.9952,-83.0047,10,1096345.7648935048,1961516.5812205179
29,36037,42.4138,-71.0052,1,2020572.1320956668,2424448.365791891
30,07753,47.6036,-122.3256,17,-1967596.3927358354,3008700.37107453
31,19144,32.7672,-96.6836,0,-63671.58814402122,1077546.6972063533
32,43725,40.745,-73.9069,11,1833553.5853051262,2184529.996115252
33,77039,42.4261,-83.1951,18,1043825.1545376949,2228994.328924514
34,23069,32.8565,-96.5999,0,-55812.85583422522,1087457.0143424482
35,75223,33.409,-86.9475,4,835083.5313262652,1188756.6835789836
36,45690,40.7608,-73.9295,11,1831304.5530076032,2185816.195341222
37,76692,39.7305,-105.1915,6,-779513.0093101226,1894505.3825193653
38,23061,44.1078,-92.4053,8,286748.86894544127,2351763.723922174
39,28025,37.5748,-77.4267,7,1614519.5309633312,1773444.253444762
40,43103,44.0805,-93.2191,8,221942.4225543589,2346543.5101431157
41,75149,42.3883,-83.1937,18,1044506.3787995392,2224821.7683943445
42,28054,42.4112,-71.0514,1,2016999.0576769689,2423186.226928389
43,28655,40.7864,-73.9764,11,1826824.5150152093,2187703.7600040496
44,80757,40.0402,-75.2231,11,1743246.0478087799,2082805.5058854811
45,48173,32.8248,-96.7498,0,-69786.7370878796,1084019.2445000003
46,15208,40.1109,-74.9378,11,1765051.8156578871,2095801.9119631236
47,39560,40.0425,-82.9689,10,1098622.6622437097,1967180.1597973441
48,80013,40.7402,-73.9996,11,1826121.786113356,2182221.902989672
49,48227,40.7443,-73.9781,11,1827768.8744342537,2183082.147971982
50,95624,40.7351,-73.8776,11,1836196.9819061342,2184016.814935788
51,11235,42.4291,-71.0605,1,2015761.1389199316,2424925.8893959797
52,15442,32.7678,-96.6082,0,-56648.38600469307,1077565.9013661759
53,80125,42.3963,-71.0325,1,2018924.4027638454,2421978.7640153132
54,23228,34.749,-80.7616,7,1377916.8562825248,1409431.6889261086
55,35133,42.3642,-71.0257,1,2020393.9274901154,2418657.378869661
56,23901,33.7299,-86.6451,4,859368.313761746,1227127.3919998738
57,35096,40.7816,-73.9511,11,1829008.948639652,2187667.2150051305
58,75216,34.9151,-81.0129,7,1352465.4452026563,1424168.1921139846
59,10314,37.3429,-77.4156,7,1620522.0275237947,1748139.558951435
60,23832,33.5554,-86.887,4,839082.0789781158,1205565.047534688
61,45661,40.0547,-75.1866,11,1745906.455100798,2085061.4532504256
62,80108,42.4081,-83.0583,18,1055181.3273282892,2228511.046082987
63,80018,32.9227,-96.6248,0,-58080.87823481093,1094858.5836359896
64,28211,39.592,-105.1328,6,-776039.4231445782,1878576.3566003458
65,28227,40.5876,-83.1271,10,1077120.812824476,2025869.015733365
66,33021,40.0568,-75.1379,11,1749874.600918512,2086186.8218862975
67,80111,33.4354,-86.1134,4,911456.2059981718,1199354.8937120526
68,23005,40.0606,-75.0471,11,1757274.0865545196,2088277.7869084417
69,07002,39.9811,-75.174,11,1748739.1787699156,2077243.6745442858
70,11106,37.2876,-77.295,7,1632114.2874146681,1744125.1948932102
71,08096,40.0726,-75.1706,11,1746790.972250966,2087313.0986271068
72,33175,33.6339,-86.5981,4,864731.0666717553,1216881.595676577
73,75227,39.9925,-75.1415,11,1751146.1306671249,2079088.8723878602
74,08873,25.813,-80.232,12,1589131.4490984043,439347.5696525064
75,07079,42.3547,-83.2168,18,1043137.5080321542,2220845.1950708856
76,43227,33.4951,-86.8059,4,847176.7224435627,1199581.0161128305
77,36756,47.6849,-122.2968,17,-1963046.6636522196,3016739.85893782
78,80223,32.3808,-96.8374,0,-78376.15196332568,1034569.0104257162
